#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Sep 01 14:35:08 EDT 2020,29,29,Assignment1Suite,EmptyFullTest1+ EmptyFullTest3+ EmptyFullTest6+ PeekTest2+ PeekTest3+ PopTest1+ PopTest2+ SizeTest0+ , ,EmptyFullTest0- EmptyFullTest2- EmptyFullTest4- EmptyFullTest5- EmptyFullTest7- InsertTest0- InsertTest1- InsertTest2- InsertTest3- PeekTest0- PeekTest1- PeekTest4- PopTest0- PopTest3- SizeTest1- SizeTest2- SizeTest3- SizeTest4- SizeTest5- , ,
1,Tue Sep 01 14:39:09 EDT 2020,29,0,SizeTestSuite,EmptyFullTest1 EmptyFullTest3 EmptyFullTest6 PeekTest2 PeekTest3 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest0 EmptyFullTest2 EmptyFullTest4 EmptyFullTest5 EmptyFullTest7 InsertTest0 InsertTest1 InsertTest2 InsertTest3 PeekTest0 PeekTest1 PeekTest4 PopTest0 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
2,Tue Sep 01 14:39:59 EDT 2020,29,0,Assignment1Suite,EmptyFullTest0+ EmptyFullTest2+ EmptyFullTest7+ PeekTest2 PeekTest3 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest1- EmptyFullTest3- EmptyFullTest4 EmptyFullTest5 EmptyFullTest6- InsertTest0 InsertTest1 InsertTest2 InsertTest3 PeekTest0 PeekTest1 PeekTest4 PopTest0 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
3,Tue Sep 01 14:40:45 EDT 2020,29,0,Assignment1Suite,EmptyFullTest1+ EmptyFullTest3+ EmptyFullTest6+ PeekTest2 PeekTest3 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest0- EmptyFullTest2- EmptyFullTest4 EmptyFullTest5 EmptyFullTest7- InsertTest0 InsertTest1 InsertTest2 InsertTest3 PeekTest0 PeekTest1 PeekTest4 PopTest0 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
4,Tue Sep 01 14:41:18 EDT 2020,29,0,Assignment1Suite,EmptyFullTest0+ EmptyFullTest2+ EmptyFullTest7+ PeekTest2 PeekTest3 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest1- EmptyFullTest3- EmptyFullTest4 EmptyFullTest5 EmptyFullTest6- InsertTest0 InsertTest1 InsertTest2 InsertTest3 PeekTest0 PeekTest1 PeekTest4 PopTest0 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
5,Tue Sep 01 14:42:06 EDT 2020,29,0,Assignment1Suite,EmptyFullTest0 EmptyFullTest2 EmptyFullTest7 PeekTest2 PeekTest3 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest1 EmptyFullTest3 EmptyFullTest4 EmptyFullTest5 EmptyFullTest6 InsertTest0 InsertTest1 InsertTest2 InsertTest3 PeekTest0 PeekTest1 PeekTest4 PopTest0 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
6,Tue Sep 01 14:42:57 EDT 2020,29,0,Assignment1Suite,EmptyFullTest1+ EmptyFullTest3+ EmptyFullTest6+ PeekTest2 PeekTest3 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest0- EmptyFullTest2- EmptyFullTest4 EmptyFullTest5 EmptyFullTest7- InsertTest0 InsertTest1 InsertTest2 InsertTest3 PeekTest0 PeekTest1 PeekTest4 PopTest0 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
7,Tue Sep 01 14:43:58 EDT 2020,29,0,Assignment1Suite,EmptyFullTest1 EmptyFullTest3 EmptyFullTest6 PeekTest2 PeekTest3 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest0 EmptyFullTest2 EmptyFullTest4 EmptyFullTest5 EmptyFullTest7 InsertTest0 InsertTest1 InsertTest2 InsertTest3 PeekTest0 PeekTest1 PeekTest4 PopTest0 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
8,Tue Sep 01 14:45:21 EDT 2020,29,0,Assignment1Suite,EmptyFullTest1 EmptyFullTest3 EmptyFullTest6 PeekTest2 PeekTest3 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest0 EmptyFullTest2 EmptyFullTest4 EmptyFullTest5 EmptyFullTest7 InsertTest0 InsertTest1 InsertTest2 InsertTest3 PeekTest0 PeekTest1 PeekTest4 PopTest0 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
9,Tue Sep 01 14:46:30 EDT 2020,29,0,Assignment1Suite,EmptyFullTest1 EmptyFullTest3 EmptyFullTest6 PeekTest2 PeekTest3 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest0 EmptyFullTest2 EmptyFullTest4 EmptyFullTest5 EmptyFullTest7 InsertTest0 InsertTest1 InsertTest2 InsertTest3 PeekTest0 PeekTest1 PeekTest4 PopTest0 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
